               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  63,            0.025356,           0.0070188,           0.0014688,             0.99432,             0.99497,              0.9928,             0.51596,            0.033527,           0.0078126,          0.00083437,            0.003862,            0.003862,            0.003862
                  64,            0.025065,           0.0069553,           0.0014185,             0.99289,             0.99443,             0.99241,             0.51055,            0.034528,           0.0080056,          0.00083929,            0.003763,            0.003763,            0.003763
                  65,             0.02516,           0.0069777,           0.0015121,             0.99478,             0.99564,             0.99417,              0.5091,            0.034433,           0.0080085,          0.00086426,            0.003664,            0.003664,            0.003664
                  66,            0.025084,           0.0069735,           0.0013524,              0.9923,             0.99377,             0.99248,             0.51771,            0.033853,           0.0079163,          0.00078707,            0.003565,            0.003565,            0.003565
                  67,            0.024878,           0.0070468,           0.0013384,             0.99074,             0.99177,             0.98981,             0.49804,            0.034887,           0.0080668,          0.00081438,            0.003466,            0.003466,            0.003466
                  68,            0.025067,           0.0068471,            0.001531,             0.99447,             0.99457,             0.99199,             0.50645,            0.034449,            0.008004,          0.00081703,            0.003367,            0.003367,            0.003367
                  69,             0.02487,           0.0069714,           0.0013957,             0.99423,               0.995,             0.99381,             0.50878,            0.034533,            0.007991,          0.00079451,            0.003268,            0.003268,            0.003268
                  70,            0.024625,           0.0068962,           0.0013357,             0.99451,             0.99565,             0.99406,             0.51023,            0.034183,           0.0080112,          0.00080692,            0.003169,            0.003169,            0.003169
                  71,            0.025024,           0.0068801,           0.0015922,             0.99342,             0.99461,             0.99163,             0.50865,            0.034369,           0.0080414,          0.00079721,             0.00307,             0.00307,             0.00307
                  72,             0.02472,           0.0069065,           0.0015231,              0.9951,             0.99572,             0.99288,             0.51823,            0.033681,            0.007916,          0.00081544,            0.002971,            0.002971,            0.002971
                  73,            0.024629,            0.006904,           0.0014955,             0.99128,             0.99232,             0.98962,              0.5099,            0.034301,           0.0080161,          0.00083185,            0.002872,            0.002872,            0.002872
                  74,            0.024661,           0.0069168,           0.0012893,             0.99084,             0.99166,              0.9887,             0.51012,            0.034198,           0.0079547,           0.0007693,            0.002773,            0.002773,            0.002773
                  75,            0.024869,           0.0068773,           0.0014673,             0.99267,             0.99354,             0.99146,             0.51219,            0.033748,            0.007887,          0.00076662,            0.002674,            0.002674,            0.002674
                  76,            0.024519,           0.0068473,           0.0012964,             0.99426,             0.99486,             0.99294,             0.51667,            0.033759,           0.0079288,          0.00074675,            0.002575,            0.002575,            0.002575
                  77,            0.024737,           0.0069035,           0.0013488,             0.99349,             0.99424,             0.99392,             0.50653,             0.03447,           0.0080399,          0.00081123,            0.002476,            0.002476,            0.002476
                  78,            0.024623,           0.0068794,           0.0013472,             0.99336,             0.99371,             0.99293,             0.51712,            0.033991,           0.0079349,          0.00083311,            0.002377,            0.002377,            0.002377
                  79,            0.024599,           0.0068156,            0.001387,             0.99353,             0.99429,             0.99274,             0.51622,            0.034022,           0.0079828,          0.00079291,            0.002278,            0.002278,            0.002278
                  80,            0.024539,            0.006825,           0.0014695,             0.99391,             0.99455,             0.99275,             0.52109,            0.033563,           0.0079323,          0.00082287,            0.002179,            0.002179,            0.002179
                  81,             0.02436,           0.0067697,           0.0013789,             0.99236,             0.99257,             0.99109,             0.51245,            0.033959,           0.0079878,          0.00084028,             0.00208,             0.00208,             0.00208
                  82,            0.024307,           0.0068405,           0.0011966,             0.99388,             0.99461,             0.99278,             0.52287,            0.033407,           0.0078995,          0.00075505,            0.001981,            0.001981,            0.001981
                  83,            0.024327,           0.0068863,            0.001281,             0.99387,             0.99444,             0.99292,             0.50747,            0.034284,           0.0080275,          0.00076382,            0.001882,            0.001882,            0.001882
                  84,            0.024275,           0.0068126,           0.0012876,             0.99384,             0.99437,             0.99287,             0.52494,            0.033172,            0.007878,          0.00075764,            0.001783,            0.001783,            0.001783
                  85,            0.024234,            0.006897,            0.001143,             0.99226,             0.99285,             0.99144,             0.52732,            0.033349,           0.0079164,          0.00074301,            0.001684,            0.001684,            0.001684
                  86,            0.024283,           0.0068912,           0.0011737,             0.99367,             0.99377,             0.99264,              0.5168,            0.033614,           0.0079647,          0.00076767,            0.001585,            0.001585,            0.001585
                  87,             0.02416,           0.0068023,           0.0013425,              0.9932,             0.99351,              0.9928,             0.51498,            0.033978,           0.0080094,          0.00078262,            0.001486,            0.001486,            0.001486
                  88,             0.02407,           0.0067157,           0.0012548,             0.99324,              0.9934,             0.99281,             0.51376,            0.033989,           0.0080157,          0.00078059,            0.001387,            0.001387,            0.001387
                  89,            0.024025,           0.0067243,           0.0012732,             0.99157,             0.99187,             0.99019,             0.51282,            0.034272,           0.0080614,           0.0008039,            0.001288,            0.001288,            0.001288
                  90,             0.02404,           0.0067923,           0.0013382,              0.9916,              0.9921,             0.99026,             0.50934,             0.03421,           0.0080641,          0.00082843,            0.001189,            0.001189,            0.001189
                  91,            0.023983,           0.0067265,           0.0012751,             0.99363,             0.99407,             0.99307,             0.51046,            0.034428,           0.0080732,          0.00078216,             0.00109,             0.00109,             0.00109
                  92,            0.023837,           0.0068198,           0.0011887,             0.99153,             0.99189,             0.99033,             0.51773,            0.033858,           0.0080088,           0.0007539,            0.000991,            0.000991,            0.000991
                  93,            0.023807,           0.0067055,           0.0012178,             0.99158,             0.99208,              0.9902,             0.51848,            0.033818,           0.0079811,          0.00076045,            0.000892,            0.000892,            0.000892
                  94,            0.023759,           0.0067929,           0.0011903,             0.99302,             0.99359,             0.99275,             0.51489,            0.034215,           0.0080682,          0.00075692,            0.000793,            0.000793,            0.000793
                  95,            0.023647,           0.0067601,           0.0011866,             0.99232,             0.99292,             0.99139,             0.51719,            0.034075,           0.0080638,          0.00073719,            0.000694,            0.000694,            0.000694
                  96,            0.023643,           0.0067903,           0.0012625,             0.99228,             0.99305,             0.99132,              0.5172,            0.033996,           0.0080703,          0.00074368,            0.000595,            0.000595,            0.000595
                  97,            0.023406,           0.0067077,           0.0011805,             0.99301,             0.99381,             0.99262,             0.51503,            0.034192,           0.0080905,          0.00074358,            0.000496,            0.000496,            0.000496
                  98,            0.023469,           0.0067735,           0.0011924,               0.993,              0.9938,             0.99261,             0.51781,            0.033979,           0.0080911,          0.00074282,            0.000397,            0.000397,            0.000397
                  99,            0.023347,           0.0066741,           0.0011547,             0.99295,             0.99361,             0.99267,             0.51716,            0.034059,           0.0080892,          0.00075152,            0.000298,            0.000298,            0.000298
